Text|Date|URL|Source
L'invito a indossare qualcosa di rosso. Le iniziative in collaborazione con chi sul territorio si occupa di parità di genere. I messaggi di speranza e coraggio attraverso l'arte. E la poesia, mezzo potente di celebrazione e al contempo di denuncia. Così le presidi di alcune scuole superiori fiorentine celebrano il 25 novembre, giornata internazionale per l'eliminazione della violenza contro le donne. Poesia come quella scelta da Silvia Bertone, preside del liceo Gramsci, che in una lettera a studenti, famiglie, docenti e personale Ata si è affidata alle parole di In piedi, signori, davanti ad una donna di William Jean Bertozzo. È l'invito al rispetto massimo, che richiama le violenze, le umiliazioni e lo sfruttamento inflitto dai maschi, le vessazioni che hanno impedito alle donne di conoscere, di esprimersi, di volare . Il colore simbolo Al Meucci la dirigente Maria Patrizia Bettini ha ricordato che il rosso è dal 2009 il colore simbolo della giornata. E per questo ha invitato tutta la comunità scolastica a indossare qualcosa di rosso «come simbolo di un impegno educativo da portare avanti tutto l'anno nella promozione di relazioni sane e nella costruzione di una cultura del rispetto e della parità». La preside del liceo scientifico Da Vinci, Annalisa Savino, ha ricordato, in una comunicazione a studenti, famiglie e lavoratori dell'istituto le attività realizzate nelle ultime due settimane con diverse realtà del territorio fra cui Comune di Firenze, Gest Tramvia e Artemisia. E sottolinea il percorso Generazioni Pari, inserito nel piano dell'offerta formativa e rivolto alle classi terze, per promuovere «una riflessione sulle skill che favoriscono nei bambini e negli adolescenti lo sviluppo psico-fisicosessuale e la costruzione di relazioni affettive serene, finalizzata alla prevenzione della violenza di genere». La mostra e i progetti Al liceo Pascoli la dirigente Maria Maddalena Erman ha diffuso con una circolare l'invito a visitare la mostra con le cinque tele realizzate da due classi terze, per il progetto sulla violenza di genere, con lettura del libro Ferite a morte di Serena Dandini e interviste audio alle realtà del territorio fiorentino impegnate nel contrasto alla violenza di genere. Un progetto, sottolinea Erman, partito dagli stessi studenti. Le cinque opere sono state anche riprodotte in cartoline. Il messaggio: Anche attraverso l'arte si può dipingere un nuovo mondo abitato da forza, coraggio e speranza .|2025-11-25|https://firenze.repubblica.it/cronaca/2025/11/25/news/giornata_internazionale_contro_la_violenza_sulle_donne_femminicidi_scuola_firenze_arte_poesia-425003443/|repubblica.it
BOLOGNA – Incidente mortale questa mattina intorno alle 8.45 in via dell'Arcoveggio, all'incrocio con via de Giovanni, in zona Corticella. Viola Mazzotti, 23 anni, residente a Cervia, era in bicicletta quando è stata investita e uccisa da un camion che stava lavorando nei cantieri del tram. I sanitari del 118 hanno tentato di salvare la ragazza, ma i traumi erano troppo gravi, non ce l'ha fatta. Sul posto sono intervenuti i vigili del fuoco, gli agenti della polizia locale e i carabinieri. Il mezzo pesante, appartenente a una ditta che effettua trasporti per i cantieri del tram, percorreva via Arcoveggio dal centro con direzione periferia. Dai primi accertamenti pare che la bicicletta percorresse la stessa via con medesima direzione, sulla pista ciclabile posta a destra della carreggiata. Giunto all'intersezione con via De Giovanni il mezzo pesante ha svoltato a destra ed è entrato in collisione con la ciclista che è finita sotto l'asse posteriore del mezzo. I precedenti Ancora una vittima sulle strade e ad essere colpiti sono gli utenti più deboli, ciclisti e pedoni. Il 7 novembre a Pieve di Cento Ilaria Zannarini, 18 anni, è morta investita sulle strisce pedonali. Pochi giorni prima era deceduto Ettore Pausini, 78 anni, investito in mountain bike lungo gli Stradelli Guelfi.|2025-11-25|https://bologna.repubblica.it/cronaca/2025/11/25/news/ciclista_investita_uccisa_da_camion_zona_arcoveggio_bologna-425003105/|repubblica.it
RIMINI - Un funzionario della Prefettura di Rimini è indagato per violenza sessuale su donne di origine straniera che si rivolgevano all'ufficio per pratiche burocratiche. L'indagine, coordinata dal sostituto procuratore Davide Ercolani, è condotta dalla squadra mobile della Questura di Rimini. La Procura ha chiesto per l'uomo, 61enne, gli arresti domiciliari. L'indagato, difeso dalle avvocate Claudia Puzone e Arianna Zanetti del foro di Rimini, sarà interrogato in settimana dalla gip Raffaella Ceccarelli, come prevede l'istituto dell'interrogatorio preventivo. L'indagine è terminata oggi 25 novembre, giornata contro la violenza sulle donne. Il caso è emerso con la denuncia di una delle donne molestate. Per il 61enne, accusato di violenza sessuale commessa nell'espletamento delle proprie mansioni di pubblico dipendente, è scattato il codice rosso . L'indagine È un'indagine complessa, abbiamo avuto gli atti da poco per cui stiamo la ovviamente le informazioni sono riservate commenta l'avvocata Claudia Puzone. L'indagine della squadra mobile sarebbe partita da una donna di nazionalità straniera che la scorsa estate si è rivolta alla Prefettura di Rimini per avere dei documenti. Le molestie sarebbero avvenute mentre il funzionario svolgeva le proprie mansioni redigendo gli atti burocratici per le utenti. Dopo la denuncia di una delle donne molestate, la squadra mobile di Rimini, coordinata nelle indagini dal sostituto procuratore Davide Ercolani, ha documentato una serie di molestie ai danni di alcune donne di cittadinanza straniera che nel corso dei mesi si sono rivolte all'ufficio del funzionario prefettizio. Le ipotesi di reato per il funzionario sono aggravate dall'aver commesso i fatti mentre svolgeva una funzione pubblica.|2025-11-25|https://bologna.repubblica.it/cronaca/2025/11/25/news/rimini_abusi_donne_straniere_indagato_funzionario_prefettura-425003201/|repubblica.it
