Text|Date|URL
di Alberto Zorzi L'accusa punta a una condanna di 234 anni per i venti imputati che volevano eliminare i «pentiti» «Nella storia del Veneto la Mala del Brenta è stata l'unica associazione mafiosa a commettere crimini di sangue. Ma anche la nuova mala del Tronchetto era pronta a uccidere i pentiti : Felice Maniero, per il quale erano andati a Brescia a prendere degli esplosivi, Alessandro Rizzi, Paolo Tenderini, anche Giampaolo Manca. Se non c'è riuscita è stato solo per gli interventi delle forze dell'ordine». L'ennesimo capitolo della sfida tra accusa e difesa sul tema «mafia sì, mafia no» al Tronchetto si è aperto ieri mattina in aula bunker. In discussione c'è il processo d'appello del troncone che si è svolto con il rito ordinario e che si era concluso con il riconoscimento della sola associazione per delinquere. E la procura generale, con i pm Paola Tonini e Giovanni Zorzi, è tornata a chiedere pene pesantissime e soprattutto il riconoscimento dell'associazione mafiosa: 27 anni quella massima per i boss dei «mestrini» («detti anche i fioi », ha sottolineato Zorzi) Gilberto Boatto e Paolo Pattarello, entrambi in videocollegamento dal carcere, uno a Opera, l'altro a Torino. Secondo l'accusa i due erano a capo, insieme a Loris Trabujo (20 anni con il rito abbreviato) e al defunto Gino Causin, di una banda che voleva continuare a spadroneggiare all'«isola nuova» con estorsioni, rapine, minacce, anche con il possesso e uso di armi. «Non comprendiamo come, dopo che tutte le sentenze hanno definito mafiosi i mestrini , ora ci sia stata una decisione diversa quando si tratta degli stessi componenti, che si muovono nello stesso modo, sullo stesso territorio e con gli stessi reati», ha detto il pm Zorzi, che aveva coordinato le indagini dei carabinieri del Ros. «C'erano i requisiti previsti: intimidazione, assoggettamento, omertà – ha proseguito – Nella sentenza di primo grado si parla di collaborazione delle vittime di estorsione, ma non ce n'è stato uno che abbia parlato a cuore aperto». «I giudici hanno riconosciuto l'altissimo profilo criminale e di pericolosità della banda – ha detto Tonini – le estorsioni ai danni di operatori economici che pagavano la stecca o la mesata per garantirsi la protezione sono un reato tipico delle organizzazioni mafiose». Trabujo poi, ha ricordato la procura, «veniva anche interpellato da ristoratori o vetrai per riscuotere i crediti: è tipico del clima mafioso la sfiducia nel ruolo dello Stato». Tra le vittime c'era anche Otello Novello, il «cocco cinese» che per decenni è stato uno degli operatori principali al Tronchetto con i suoi lancioni per i turisti. Pagava 6 mila euro al mese, ma ora è lui stesso imputato per favoreggiamento, in quanto davanti ai carabinieri aveva negato l'estorsione subita. Per lui i difensori Massimiliano Cristofoli Prat e Cristiana Cagnin hanno chiesto ieri una nuova perizia, sostenendo che non si ricordasse nulla per un problema di memoria (ha 81 anni), ma la Corte d'appello ha rigettato. Per lui la procura ha chiesto 3 anni di carcere. In tutto le pene complessive richieste sono state di oltre 234 anni per i venti imputati (un altro è deceduto nel frattempo). Tra gli altri presunti «mafiosi» sono stati sollecitati 17 anni per Roberto Sorato, Alessandro Duse e Denis Trabujo, il fratello di Loris; 12 per Christian Michielon e Anna Pegoraro, ex compagna di Pattarello. Per il concorso esterno, 9 anni sono stati chiesti per la compagna di Trabujo, Sara Battagliarin («non era ingenua, non veniva da Marte: sapeva cosa faceva»), 10 per la madre Lucia Marazzi. Ieri hanno parlato anche le parti civili. Il tassista che era stato rapinato ha chiesto 750 mila euro di danni e la conferma della provvisionale di 250 mila con l'avvocato Luigi Ravagnan: «Dopo l'aggressione era terrorizzato, tanto che all'inizio ha faticato a denunciare», ha spiegato il legale. Lo Stato vuole un risarcimento di 500 mila euro con la presidenza del Consiglio e 625 mila con il ministero dell'Interno per le spese dell'inchiesta. Il Comune di Venezia un milione per il danno d'immagine e quanto investito per riqualificare il Tronchetto, idem la Regione Veneto. Infine 200 mila euro la Cgil.|2025-11-25|https://corrieredelveneto.corriere.it/notizie/venezia-mestre/cronaca/25_novembre_25/mala-del-tronchetto-in-veneto-i-pm-chiedono-27-anni-per-i-boss-erano-pronti-a-uccidere-maniero-e5dff197-1bc6-4a86-8125-d1c0bfcd0xlk.shtml
Questo messaggio verrà visualizzato su un altro dispositivo/accesso e tu potrai continuare a leggere le notizie da qui. L'altro dispositivo/accesso rimarrà collegato a questo account. Puoi accedere con il tuo account su tutti i dispositivi che desideri, ma utilizzandoli in momenti diversi secondo il tuo piano di abbonamento.Perchè visualizzo questo messaggio? Perché tu o qualcun altro sta leggendo Corriere.it con questo account su più di due dispositivi/accessi. Il tuo attuale abbonamento permette di leggere Corriere.it solo su due dispositivi in contemporanea (computer, telefono o tablet).Come posso smettere di vedere questo messaggio? Se sei abbonato con un altro account accedi con le tue credenziali. Se siete in 2 o più che utilizzano lo stesso abbonamento, passa all'offerta Family e condividi l'abbonamento con altre due persone. Altrimenti, fai clic su Continua a leggere qui e assicurati di essere l'unica persona che visualizza Corriere.it con questo account.Non sai chi altro sta utilizzando questo account? Ti consigliamo di cambiare la tua password cliccando qui|2025-11-25|https://corrieredelveneto.corriere.it/notizie/politica/25_novembre_25/alberto-stefani-neogovernatore-del-veneto-promette-saro-il-sindaco-di-tutti-i-veneti-lo-stile-pacato-funziona-c352cb1b-0a06-4e3c-9cdd-63e69c039xlk.shtml
Questo messaggio verrà visualizzato su un altro dispositivo/accesso e tu potrai continuare a leggere le notizie da qui. L'altro dispositivo/accesso rimarrà collegato a questo account. Puoi accedere con il tuo account su tutti i dispositivi che desideri, ma utilizzandoli in momenti diversi secondo il tuo piano di abbonamento.Perchè visualizzo questo messaggio? Perché tu o qualcun altro sta leggendo Corriere.it con questo account su più di due dispositivi/accessi. Il tuo attuale abbonamento permette di leggere Corriere.it solo su due dispositivi in contemporanea (computer, telefono o tablet).Come posso smettere di vedere questo messaggio? Se sei abbonato con un altro account accedi con le tue credenziali. Se siete in 2 o più che utilizzano lo stesso abbonamento, passa all'offerta Family e condividi l'abbonamento con altre due persone. Altrimenti, fai clic su Continua a leggere qui e assicurati di essere l'unica persona che visualizza Corriere.it con questo account.Non sai chi altro sta utilizzando questo account? Ti consigliamo di cambiare la tua password cliccando qui|2025-11-25|https://corrieredelveneto.corriere.it/notizie/politica/25_novembre_25/de-carlo-fdi-abbiamo-pagato-lo-scotto-di-due-presidenti-candidati-e-mancato-il-voto-di-opinione-ma-non-ci-siamo-mai-illusi-e5d514cb-4d47-43c9-a371-5b7cdf4f4xlk.shtml
